
Location           DisplayName
--------           -----------
eastus             East US
eastus2            East US 2
southcentralus     South Central US
westus2            West US 2
westus3            West US 3
australiaeast      Australia East
southeastasia      Southeast Asia
northeurope        North Europe
swedencentral      Sweden Central
uksouth            UK South
westeurope         West Europe
centralus          Central US
southafricanorth   South Africa North
centralindia       Central India
eastasia           East Asia
japaneast          Japan East
koreacentral       Korea Central
canadacentral      Canada Central
francecentral      France Central
germanywestcentral Germany West Central
italynorth         Italy North
norwayeast         Norway East
polandcentral      Poland Central
switzerlandnorth   Switzerland North
mexicocentral      Mexico Central
uaenorth           UAE North
brazilsouth        Brazil South
israelcentral      Israel Central
qatarcentral       Qatar Central
asia               Asia
asiapacific        Asia Pacific
australia          Australia
brazil             Brazil
canada             Canada
europe             Europe
france             France
germany            Germany
global             Global
india              India
israel             Israel
italy              Italy
japan              Japan
korea              Korea
newzealand         New Zealand
norway             Norway
poland             Poland
qatar              Qatar
singapore          Singapore
southafrica        South Africa
sweden             Sweden
switzerland        Switzerland
unitedstates       United States
northcentralus     North Central US
westus             West US
japanwest          Japan West
centraluseuap      Central US EUAP
eastus2euap        East US 2 EUAP
westcentralus      West Central US
southafricawest    South Africa West
australiacentral   Australia Central
australiacentral2  Australia Central 2
australiasoutheast Australia Southeast
koreasouth         Korea South
southindia         South India
westindia          West India
canadaeast         Canada East
francesouth        France South
germanynorth       Germany North
norwaywest         Norway West
switzerlandwest    Switzerland West
ukwest             UK West
uaecentral         UAE Central
brazilsoutheast    Brazil Southeast

